data,data_notificacao,data_inicio_sintomas,data_obito
1/1/20,0,8,0
1/2/20,0,2,0
1/3/20,0,1,0
1/4/20,0,2,0
1/5/20,0,4,0
1/6/20,0,3,0
1/7/20,0,1,0
1/8/20,0,1,0
1/9/20,0,0,0
1/10/20,0,1,0
1/11/20,0,0,0
1/12/20,0,0,0
1/13/20,1,0,0
1/14/20,0,0,0
1/15/20,0,1,0
1/16/20,0,0,0
1/17/20,0,0,0
1/18/20,0,1,0
1/19/20,0,0,0
1/20/20,0,2,0
1/21/20,0,0,0
1/22/20,0,1,0
1/23/20,0,1,0
1/24/20,0,1,0
1/25/20,0,1,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,1,0
1/29/20,1,1,0
1/30/20,1,0,0
1/31/20,0,1,0
2/1/20,0,0,0
2/2/20,0,1,0
2/3/20,0,1,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,1,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,2,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,1,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,44,0
3/2/20,0,7,0
3/3/20,2,10,0
3/4/20,0,5,0
3/5/20,0,17,0
3/6/20,0,14,0
3/7/20,0,12,0
3/8/20,0,11,0
3/9/20,0,23,0
3/10/20,0,74,0
3/11/20,0,33,0
3/12/20,8,38,0
3/13/20,6,60,0
3/14/20,1,75,0
3/15/20,3,191,0
3/16/20,8,128,0
3/17/20,26,123,0
3/18/20,45,105,0
3/19/20,38,115,2
3/20/20,37,319,1
3/21/20,3,150,2
3/22/20,22,168,2
3/23/20,69,219,2
3/24/20,54,152,4
3/25/20,65,244,8
3/26/20,66,162,7
3/27/20,155,232,4
3/28/20,71,236,7
3/29/20,38,230,5
3/30/20,287,294,12
3/31/20,190,205,10
4/1/20,195,518,14
4/2/20,169,363,12
4/3/20,164,350,20
4/4/20,74,457,16
4/5/20,58,535,16
4/6/20,256,441,22
4/7/20,264,410,20
4/8/20,271,445,22
4/9/20,201,580,26
4/10/20,171,942,22
4/11/20,184,583,31
4/12/20,188,698,41
4/13/20,439,812,36
4/14/20,454,757,40
4/15/20,459,966,44
4/16/20,487,756,48
4/17/20,449,845,31
4/18/20,194,872,55
4/19/20,218,716,60
4/20/20,804,1846,83
4/21/20,259,845,60
4/22/20,447,1091,75
4/23/20,284,980,74
4/24/20,944,1095,79
4/25/20,295,1069,90
4/26/20,228,835,99
4/27/20,1039,1121,90
4/28/20,902,1041,110
4/29/20,801,837,112
4/30/20,898,1357,112
5/1/20,306,1806,92
5/2/20,284,928,121
5/3/20,250,720,126
5/4/20,940,1090,111
5/5/20,864,1437,133
5/6/20,823,806,157
5/7/20,741,761,129
5/8/20,801,950,137
5/9/20,229,674,136
5/10/20,190,1314,133
5/11/20,638,785,121
5/12/20,895,727,136
5/13/20,1005,673,112
5/14/20,788,613,131
5/15/20,685,1028,110
5/16/20,337,575,112
5/17/20,227,552,124
5/18/20,762,642,112
5/19/20,1170,580,104
5/20/20,904,907,87
5/21/20,1041,600,100
5/22/20,837,710,106
5/23/20,303,451,106
5/24/20,488,280,89
5/25/20,777,714,106
5/26/20,609,523,69
5/27/20,1045,611,92
5/28/20,868,493,86
5/29/20,765,619,96
5/30/20,343,430,60
5/31/20,370,235,65
6/1/20,880,892,73
6/2/20,756,437,58
6/3/20,897,513,71
6/4/20,671,399,80
6/5/20,537,406,72
6/6/20,149,526,61
6/7/20,180,265,52
6/8/20,775,428,53
6/9/20,812,336,54
6/10/20,750,825,56
6/11/20,211,254,55
6/12/20,741,292,53
6/13/20,282,304,45
6/14/20,305,182,39
6/15/20,1176,580,40
6/16/20,1294,317,47
6/17/20,1553,283,45
6/18/20,903,267,49
6/19/20,851,311,51
6/20/20,165,399,35
6/21/20,229,151,33
6/22/20,1072,304,35
6/23/20,615,293,37
6/24/20,767,316,35
